Team,League,Country,HeadCoach,Appointed,EndDate,Tenure,Matches,Wins,Draws,Losses,AppointmentNumber
Getafe,LaLiga,Spain,Michel,2021-07-01,2021-10-04,95,8,0,1,7,2
Nantes,Ligue 1,France,Michel Der Zakarian,2012-05-31,2016-06-30,1491,171,65,47,59,1
Reims,Ligue 1,France,Michel Der Zakarian,2016-07-01,2017-05-22,325,41,15,13,13,2
Montpellier,Ligue 1,France,Michel Der Zakarian,2017-05-23,2021-05-24,1462,161,63,51,47,3
Chievo,Serie A,Italy,Michele Marcolini,2019-07-04,2020-03-01,241,28,10,10,8,1
Lorient,Ligue 1,France,Mickaël Landreau,2017-05-30,2019-05-28,728,88,43,20,25,1
Nantes,Ligue 1,France,Miguel Cardoso,2018-06-13,2018-10-02,111,8,1,3,4,1
Celta Vigo,LaLiga,Spain,Miguel Cardoso,2018-11-12,2019-03-03,111,15,3,2,10,2
Frosinone,Serie A,Italy,Moreno Longo,2017-06-14,2018-12-19,553,65,22,22,21,1
Torino,Serie A,Italy,Moreno Longo,2020-02-04,2020-08-07,185,16,3,4,9,2
Rayo Vallecano,LaLiga,Spain,Míchel,2017-02-21,2019-03-18,755,89,34,23,32,1
Crystal Palace,Premier League,England,Neil Warnock,2014-08-27,2014-12-27,122,17,3,6,8,1
Eint Frankfurt,Bundesliga,Germany,Niko Kovac,2016-03-08,2018-06-30,844,91,41,17,33,1
Bayern Munich,Bundesliga,Germany,Niko Kovac,2018-07-01,2019-11-03,490,65,45,12,8,2
Monaco,Ligue 1,France,Niko Kovac,2020-07-19,2022-01-01,531,74,43,15,16,3
Darmstadt 98,Bundesliga,Germany,Norbert Meier,2016-07-01,2016-12-05,157,15,3,2,10,1
Valencia,LaLiga,Spain,Nuno Espírito Santo,2014-07-01,2015-11-29,516,62,32,16,14,1
Tottenham,Premier League,England,Nuno Espírito Santo,2021-07-01,2021-11-01,123,17,9,1,7,2
Manchester Utd,Premier League,England,Ole Gunnar Solskjær,2019-03-28,2021-11-21,969,149,78,33,38,1
Wolfsburg,Bundesliga,Germany,Oliver Glasner,2019-07-01,2021-06-30,730,87,41,22,24,1
Montpellier,Ligue 1,France,Olivier Dall'Oglio,2021-06-01,2022-10-17,503,52,18,7,27,1
Reims,Ligue 1,France,Olivier Guégan,2015-04-07,2016-04-23,382,44,12,9,23,1
Getafe,LaLiga,Spain,Pablo Franco,2015-02-27,2015-06-30,123,14,3,2,9,1
Sevilla,LaLiga,Spain,Pablo Machín,2018-07-01,2019-03-15,257,50,26,9,15,1
Las Palmas,LaLiga,Spain,Paco Herrera,2014-07-04,2015-10-19,472,58,27,16,15,1
Las Palmas,LaLiga,Spain,Paco Herrera,2018-11-17,2019-03-04,107,14,3,7,4,2
Rayo Vallecano,LaLiga,Spain,Paco Jémez,2012-06-22,2016-06-30,1469,164,55,29,80,1
Granada,LaLiga,Spain,Paco Jémez,2016-07-01,2016-09-28,89,6,0,2,4,2
Las Palmas,LaLiga,Spain,Paco Jémez,2018-01-01,2018-06-30,180,23,2,6,15,3
Rayo Vallecano,LaLiga,Spain,Paco Jémez,2019-03-19,2020-07-31,500,56,18,24,14,4
Valencia,LaLiga,Spain,Pako Ayestarán,2016-03-30,2016-09-20,174,12,3,1,8,1
Las Palmas,LaLiga,Spain,Pako Ayestarán,2017-09-28,2017-11-30,63,9,1,1,7,2
Toulouse,Ligue 1,France,Pascal Dupraz,2016-03-01,2018-01-22,692,77,24,22,31,1
